"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02249676","Autologous Mesenchymal Stem Cells for the Treatment of Neuromyelitis Optica Spectrum Disorders",,"Completed","No Results Available","Devic's Syndrome|Devic's Neuromyelitis Optica|Devic Syndrome|Devic's Disease|Devic Disease","Biological: Autologous mesenchymal stem cells","EDSS|Annual relapse rate|Lesion load|Retinal nerve fiber layer (RNFL)|Cognition|Immunological assessments|cerebral volume","Tianjin Medical University General Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","15","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB2013-055-02","January 2013","December 31, 2014","December 31, 2014","September 25, 2014",,"October 17, 2018","Tianjin Medical University General Hospital, Tianjin, Tianjin, China",,"https://ClinicalTrials.gov/show/NCT02249676"
2,"NCT02165904","Subarachnoid Administrations of Adults Autologous Mesenchymal Stromal Cells in SCI",,"Completed","Has Results","Spinal Cord Injury","Biological: Adult Autologous Mesenchymal Bone Marrow Cell","Efficacy-Sensivity Improvement Using the ASIA Score|Efficacy- Changes in Functional Independence Measure Scale|Efficacy-Change in Barthel Score|Efficacy-IANC-SCIFRS Scale|Efficacy-Changes in PENN Score.|Changes in ASHWORTH Score|Efficacy-Changes in EVA Score|Efficacy- Changes in Geffner Score|Efficacy- Changes in NBD Score|Efficacy-Changes in the Neurophysiological Parameters (SSEPs, Somatosensory Evoked Potentials)|Efficacy-Urodynammic in Terms of Detrusor Pressure|Efficacy-Urodynamic Studies Bladder Compliance|Efficacy-Urodynamic Studies Maximum Cystometric Capacity|Efficacy-modification of Magnetic Resonance Imaging (MRI)|Number of Adverse Events .|Efficacy- Expression of Neurotrophins in CSF (CerebroSpinal Fluid) Samples","Puerta de Hierro University Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CME-LEM2|2011-005684-24","May 2014","May 2016","May 2016","June 18, 2014","July 19, 2019","July 19, 2019","Hospital Puerta de Hierro, Majadahonda, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT02165904"
3,"NCT01499459","Autologous Mesenchymal Stem Cell Transplantation in Liver Cirrhosis",,"Unknown status","No Results Available","Liver Cirrhosis","Genetic: autologous mesenchymal stem cell transplantation","clinical improvement|liver regeneration","Saglik Bilimleri Universitesi Gulhane Tip Fakultesi","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","25","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","11111111|1111111","June 2008","July 2012","August 2012","December 26, 2011",,"March 22, 2012","Gulhane Military Medical Academy Department of Gastroenterology, Ankara, Turkey",,"https://ClinicalTrials.gov/show/NCT01499459"
4,"NCT02824393","Experimental Autologous Mesenchymal Stem Cell Therapy in Treatment of Chronic Autoimmune Urticaria",,"Completed","No Results Available","Urticaria|Autoimmune Diseases|Immune System Diseases|Skin Diseases","Biological: Autologous mesenchymal stem cell","Change from baseline in weekly urticaria activity scores.|Follow-up of the mesenchymal stem cell treatment-related side effects according to World Health Organisation (WHO) Toxicity Grading Scale for Determining The Severity of Adverse Events.|The changes in the ratios of peripheral blood cluster of differentiation 4 (CD4) T cell subsets.|The changes in ratios of peripheral blood inflammatory and anti-inflammatory cytokines.|The changes in the levels of peripheral blood anti-FcεRI autoantibody","Celal Bayar University|The Scientific and Technological Research Council of Turkey|Acıbadem Labcell","All","18 Years to 65 Years   (Adult, Older Adult)","Early Phase 1","10","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TUBITAK-1001-215S612","March 3, 2017","May 15, 2018","July 15, 2018","July 6, 2016",,"July 18, 2018","Celal Bayar University, Medical School, Manisa, Turkey",,"https://ClinicalTrials.gov/show/NCT02824393"
5,"NCT02574572","Autologous Mesenchymal Stem Cells Transplantation in Cervical Chronic and Complete Spinal Cord Injury",,"Unknown status","No Results Available","Spinal Cord Injury","Biological: Autologous mesenchymal cells transplantation","Number of participants with treatment-related adverse events as assessed by magnetic resonance imaging|Functional improvement in ASIA (American Spinal Injury Association) grade|Functional improvement regarding the AIS (ASIA Impairment Scale) scores (light touch, pin prik and motor force)|Improvements in sensorial mapping and neuropathic pain","Hospital Sao Rafael","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SCI-003","September 6, 2017","December 31, 2019","June 30, 2020","October 14, 2015",,"November 28, 2017","Hospital São Rafael, Salvador, Bahia, Brazil",,"https://ClinicalTrials.gov/show/NCT02574572"
6,"NCT01157650","Treatment of Fistulous Crohn's Disease by Implant of Autologous Mesenchymal Stem Cells Derived From Adipose Tissue",,"Completed","No Results Available","Crohn Disease","Other: Autologous mesenchymal stem cells","Security and tolerance|therapeutic effect","Clinica Universidad de Navarra, Universidad de Navarra","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CSM/CROH|2009-009880-71","June 2010","September 2013","September 2013","July 7, 2010",,"November 8, 2016","Clínica Universitaria de Navarra, Pamplona, Spain|Hospital Provincial de Navarra, Pamplona, Spain|Hospital Virgen del Camino, Pamplona, Spain",,"https://ClinicalTrials.gov/show/NCT01157650"
7,"NCT01609283","A Dose-escalation Safety Trial for Intrathecal Autologous Mesenchymal Stem Cell Therapy in Amyotrophic Lateral Sclerosis",,"Completed","No Results Available","Amyotrophic Lateral Sclerosis","Biological: autologous mesenchymal stem cells","Number of patients with dose-limiting toxicities|Number of patients with adverse events|Change in serum sedimentation rate|Change in C-reactive protein levels|Change in complete blood counts|Change in total nucleated cell count in cerebrospinal fluid (CSF)|Change in protein level in cerebrospinal fluid (CSF)|Number of patients with presence of cancer cells in their cerebrospinal fluid (CSF)","Mayo Clinic","All","18 Years and older   (Adult, Older Adult)","Phase 1","27","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","11-008415","May 2012","January 31, 2019","January 31, 2019","May 31, 2012",,"September 3, 2019","Mayo Clinic, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT01609283"
8,"NCT01694927","Autologous Mesenchymal Stem Cells in Spinal Cord Injury (SCI) Patients","MSC-SCI","Unknown status","No Results Available","Spinal Cord Injury","Procedure: Autologous Mesenchymal Stem Cells","Safety of Autologous Expanded Mesenchymal Stem Cells transplantation in SCI patients|Functional improvement in muscle strength|Functional Improvement in sphincters control|Functional improvement in spasticity control","Clínica Las Condes. LIT INNOVA CORFO|Clinica las Condes, Chile","All","2 Years to 65 Years   (Child, Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LIT-2012-ACF-001","January 2012","December 2013","June 2014","September 27, 2012",,"July 3, 2013","Clínica Las Condes, Santiago, RM, Chile",,"https://ClinicalTrials.gov/show/NCT01694927"
9,"NCT01056471","Autologous Mesenchymal Stem Cells From Adipose Tissue in Patients With Secondary Progressive Multiple Sclerosis",,"Completed","No Results Available","Autoimmune Diseases|Immune System Diseases|Demyelinating Diseases|Nervous System Diseases|Demyelinating Autoimmune Diseases, CNS|Autoimmune Diseases of the Nervous System","Other: Autologous mesenchymal stem cells from adipose tissue.","To evaluate safety and tolerability related to the intravenous infusion of autologous mesenchymal stem cells|To evaluate effects on MS disease activity measured by: clinical variables, imaging variables, immunological and neurophysiologic analysis, neuropsychological and quality of life scales.","Andalusian Initiative for Advanced Therapies - Fundación Pública Andaluza Progreso y Salud|Carlos III Health Institute|Andalusian Network for Design and Translation of Advanced Therapies","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CMM/EM/2008","January 2010","June 2012","June 2015","January 26, 2010",,"August 7, 2015","Hospital Regional Universitario de Málaga, Málaga, Spain|Hospital Universitario Virgen Macarena, Sevilla, Spain",,"https://ClinicalTrials.gov/show/NCT01056471"
10,"NCT01228266","Mesenchymal Stem Cell Transplantation in MS","CMM-EM","Terminated","No Results Available","Multiple Sclerosis","Biological: autologous mesenchymal stem cells","To evaluate the safety as number of severe events along 1 year, and efficacy in terms of cumulative number of gadolinium-enhancing lesions in MRI at 6 months and at the end of the study|To evaluate effects on MS disease activity measured by: clinical variables, MRI, OCT, immunological analysis and quality of life scales","Albert Saiz|Instituto de Salud Carlos III|Hospital Clinic of Barcelona","All","18 Years to 50 Years   (Adult)","Phase 2","9","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","CMM-EM","December 2010","June 2013","December 2013","October 26, 2010",,"February 13, 2014","Neurology Service, Hospital Clinic de barcelona, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT01228266"
